sentiment,review_body,product_category
-1,I wanted to love this top. but  it looks like an ambitious 12 year old made it with rumpled fabric and lace found in her grandmothers attic. re: hopeful  but not good. the quality is not good and it hangs strangely on. sadly it is going back.,Blouses
-1,I wanted to love this product so badly. i ordered it in the mail  and it looked beautiful coming out of the box. i normally look really nice in grey  but this color really washed me out and was not nice on. the fabric is very sheer  so you would have to wear it over a camisole/tank top. this is one of those pieces that looks better on the hanger than in person. large in arms  small on body. odd fit.,Blouses
-1,This top looked positively vulgar on!!!! i am a 34d  and it was way too low cut...my boobs were spilling out!!! in addition  the fabric reminded me of a cheese cloth.....it just looked and felt cheap. unfortunately  this top will be going back.,Blouses
-1,Very beautiful colors unfortunately the cut is much too tent- like and it looks like a maternity top on me. i like a flowy bohemian top but this one was too much for my tastes  sadly i sent it back.,Blouses
-1,I ordered the white and the light blue in size xl. both are cut much smaller than is typical for my other retailer xl blouses. everything the first reviewer wrote is true. the photos of the white top show a detailed back when it is plain (like the blue). the back is just a solid  kind of slippery material. it's strange because it's not see-through in the back but you need to wear a tank/cami for the front. so  it makes the shirt that much tighter since you need to have the extra layer.     i would,Blouses
-1,If i stopped eating for a couple of months or jumped into a time machine and set the dial for 1990 i would really enjoy this beautifully made delicate blouse. the problem area is evident looking at the photo --the tiny tight fitted gorgeous bodice. i will keep this piece becasue i love it so and the apocolypse is apparently imminent and i have hardly any food in the house.,Blouses
-1,I bought this shirt immediately because of the pattern  when it arrived i was super confused. it's not a tee shirt like it looks like in the photos. it's made with cotton fabric with a tiny bit of stretch. i ordered the xl because i have brought shoulders and 36e bras size and it fits like a 2x or larger. i would say order two sizes down. also it hangs like a maternity shirt. i might order it once it's on sale  which it definitely will be  but even then am not positive i would keep it.,Blouses
-1,Beautiful in pictures and i loved it before i tried it on. as the other reviews state  it is short and wide. i like the top so much  i am going to try to add some gathering across the back to offer some shape. otherwise it is an unflattering shapeless box :(,Blouses
-1,"This top was just not flattering. i'm 5'8"" and medium build  and the m was very bulky and the fabric didn't fall in the right places. made me look very round and i'm not  so it's definitely going back!",Blouses
0,I really liked the top once i saw it  but it needs to be worn with a cami underneath. the fabric is a little stiff. it runs true to size and it fits like a peplum top with extra space around the waist. the top is not really crocheted by hand it was done by machine  but it is a nice top.,Blouses
0,I bought this tank for work  but the color of the print is slightly muted compared to the photo. i usually wear a xxs or xs (i am 100 lbs  5'1) and i got the xs thinking it will be loose  which i wanted. the arm holes were down to my waist  and it was also unusually wide. the quality of the fabric is nice though  not to heavy and not too thin.,Blouses
0,I wanted to love this top but couldn't. i am curvy (36/27/39; 32dd) and this accentuated my hips (which is not needed) and made my chest/whole shape seem boxy. i could only recommend this top to someone who is smaller chested with a straight build- the bottom would help give some shape; pleating on front would help chest seem larger. i did love the color and construction  lace details  3/4 sleeves.,Blouses
0,I loved the look and feel of this shirt the moment i saw it. it would be so versatile with jeans  skirts  and black slacks. i was contemplating wearing it with a tulle skirt for nye but it wasn't meant to be. usually my issue with these tops is in the bust and strangely that wasn't the case this time. this is great news!! also they made the sides adjustable so wide hips are not a problem either. however i have muscular arms and well cloth and stone are not thinking about that. they make the uppe,Blouses
0,Great looking shirt that i bought for my wife  but poor quality. the fit is great but the buttons literally keep falling off. first time my wife wore it two buttons just fell off. when she was sewing them back on she showed me and another button just came off with the slightest tug. its really too bad because it looks great otherwise.,Blouses
0,I'm so disappointed with the fit of this top. it is extremely short  even for my 5'2 frame. sizing up will not fix the length. too bad  because the shirt is cute.,Blouses
0,The top is made well and has a strap holder to keep your bra hidden which is always a nice feature. however the amount of fabric made it unflattering on me. the overall design is fun and i probably would have purchased if it had been more fitted and flattering. i have a medium on in the photo  my measurements are 38-30-40.,Blouses
0,For fuller busted folks  this top may not work as it's unstructured and results in a tent from the boobs down. it's a shame--i found the gold embellishment beautiful.,Blouses
0,"Beautiful blouse in theory  however  on my 5'9"" frame it came off like a costume. i truly had a nice chuckle as i looked at myself in the mirror. had to sadly return it",Blouses
1,"Gorgeous baby blue lace is a must see. i received many compliments. my only gripe is that i don't love when shirts have those connecting camisoles (which make it harder to put on) as i would much rather just have a sewn in lining  but it didn't deter me. i am 5'5""  135lbs  34c  muscular/curvy frame and a size 4 fit perfectly.",Blouses
1,I ordered my usual size 6 in tops at retailer in both the orange/blue print & the pink color. fit is tts & looks pretty much on me as in the pic. lightweight & cool for these hot days. the 'pink' really is not pink - it's a true orange so i returned this one. i didn't really need an orange top. if it had been as in the pic which is a pink/coral-like color i wld have kept it. the orange/blue print is really appealing so that is a keeper. this top is a little flowy but not tent-like which is perfect,Blouses
1,I'm a huge maeve enthusiast. tried this on in three different colors  and although these types of maeve tops have had sizing differences from season to season  this top is more true-to-size than others have been more recently. the petite size for me was too short to tuck in  but the regular worked perfectly. the top is roomy  flowy  and the white version is sheer  but a white tank under it would be perfect. the green umbrellas are adorable! a great way to spruce up your wardrobe for spring!,Blouses
1,"I see other reviewers are like me. we are wondering why antho has so many waistless  big  flowy tops! please! more tops with a defined waist! please!  i love this top. it's a gorgeous color and a lot of work to it  very retro antho  not just a t-shirt like so many are these days. to my delight  it runs large. i usually wear a 14 or 16  but the store had a 12 in the sale room  and not only did it fit  but i plan to have my seamstress taper the waistline and cut off the ""wings"" that flare off on t",Blouses
